state,latlng
New York,"40.663468,-73.938697"
California,"34.019394,-118.410825"
Illinois,"41.837551,-87.681844"
Texas,"29.786642,-95.390899"
Arizona,"33.572154,-112.090132"
Pennsylvania,"40.009376,-75.133346"
Florida,"30.336864,-81.661603"
North Carolina,"35.208707,-80.830739"
Ohio,"39.984371,-82.984787"
Indiana,"39.776664,-86.145935"
Washington,"47.619349,-122.351471"
Colorado,"39.76185,-104.881105"
District of Columbia,"38.904103,-77.017229"
Massachusetts,"42.338551,-71.018253"
Tennessee,"36.1718,-86.785002"
Oregon,"45.536951,-122.649971"
Nevada,"36.227551,-115.263782"
Oklahoma,"35.467079,-97.513657"
Michigan,"42.383037,-83.102237"
Kentucky,"38.165376,-85.647377"
Maryland,"39.300032,-76.610476"
Wisconsin,"43.063348,-87.966695"
New Mexico,"35.10478,-106.646809"
Georgia,"33.762909,-84.422675"
Missouri,"39.125129,-94.551028"
Virginia,"36.779985,-76.025209"
Nebraska,"41.261748,-96.047142"
Minnesota,"44.963324,-93.26832"
Louisiana,"30.05342,-89.934502"
Kansas,"37.690638,-97.345836"
Hawaii,"21.324347,-157.84764"
Alaska,"61.17425,-149.284329"
New Jersey,"40.72422,-74.172574"
Idaho,"43.600229,-116.231656"
Iowa,"41.57259,-93.610243"
Alabama,"33.527444,-86.799047"
Utah,"40.776928,-111.930991"
Arkansas,"34.725432,-92.358556"
South Dakota,"43.539466,-96.732035"
Rhode Island,"41.823056,-71.418784"
Mississippi,"32.315831,-90.212823"
South Carolina,"32.81793,-79.95896"
Connecticut,"41.187393,-73.195757"
